,description,url
72,Qashqadaryo viloyati hokimligi,www.qashadaryo.uz
73,Namangan viloyat hokimligi,www.namangan.uz
74,Surxondaryo viloyati hokimligi,www.surxondaryo.uz
75,Farg‘ona viloyati hokimligi,www.ferghana.uz
76,Toshkent viloyati hokimligi,www.toshvil.uz
77,Andijon viloyati hokimligi,www.andijan.uz
78,Jizzax viloyati hokimligi,www.jizzax.uz
79,Navoiy viloyati hokimligi,www.navoi.uz
80,Samarqand viloyati hokimligi,www.samarkand.uz
81,Sirdaryo viloyati xokimligi,www.sirdaryo.uz
82,Xorazm viloyati hokimligi,www.xorazm.uz
83,Toshkent shahar hokimligi,www.tashkent.uz
